PMID;First Author;Publication Date;Title;Abstract;DOI;classification;species;country;statistics;optimization;strategies;notes;human;pred;TRUE
35881004;Pepin KM;2022 Sep;Optimising response to an introduction of African swine fever in wild pigs.;African swine fever virus (ASFv) is a virulent pathogen that threatens domestic swine industries globally and persists in wild boar populations in some countries. Persistence in wild boar can challenge elimination and prevent disease-free status, making it necessary to address wild swine in proactive response plans. In the United States, invasive wild pigs are abundant and found across a wide range of ecological conditions that could drive different epidemiological dynamics among populations. Information on the size of the control areas required to rapidly eliminate the ASFv in wild pigs and how this area should change with management constraints and local ecology is needed to optimize response planning. We developed a spatially explicit disease transmission model contrasting wild pig movement and contact ecology in two ecosystems in Southeastern United States. We simulated ASFv spread and determined the optimal response area (reported as the radius of a circle) for eliminating ASFv rapidly over a range of detection times (when ASFv was detected relative to the true date of introduction), culling capacities (proportion of wild pigs in the culling zone removed weekly) and wild pig densities. Large radii for response areas (14 km) were needed under most conditions but could be shortened with early detection (≤ 8 weeks) and high culling capacities (≥ 15% weekly). Under most conditions, the ASFv was eliminated in less than 22 weeks using optimal control radii, although ecological conditions with high rates of wild pig movement required higher culling capacities (≥ 10% weekly) for elimination within 1 year. The results highlight the importance of adjusting response plans based on local ecology and show that wild pig movement is a better predictor of the optimal response area than the number of ASFv cases early in the outbreak trajectory. Our framework provides a tool for determining optimal control plans in different areas, guiding expectations of response impacts, and planning resources needed for rapid elimination.;10.1111/tbed.14668;included;wild pigs;united states;spatially explicit disease transmission model;optimization;risk-based monitoring;proactive response planning;1;1;1
27938676;Halasa T;2016 Dec 25;Control of African swine fever epidemics in industrialized swine populations.;African swine fever (ASF) is a notifiable infectious disease with a high impact on swine health. The disease is endemic in certain regions in the Baltic countries and has spread to Poland constituting a risk of ASF spread toward Western Europe. Therefore, as part of contingency planning, it is important to explore strategies that can effectively control an epidemic of ASF. In this study, the epidemiological and economic effects of strategies to control the spread of ASF between domestic swine herds were examined using a published model (DTU-DADS-ASF). The control strategies were the basic EU and national strategy (Basic), the basic strategy plus pre-emptive depopulation of neighboring swine herds, and intensive surveillance of herds in the control zones, including testing live or dead animals. Virus spread via wild boar was not modelled. Under the basic control strategy, the median epidemic duration was predicted to be 21days (5th and 95th percentiles. 1-55days), the median number of infected herds was predicted to be 3 herds (1-8), and the total costs were predicted to be €326 million (€256-€442 million). Adding pre-emptive depopulation or intensive surveillance by testing live animals resulted in marginal improvements to the control of the epidemics. However, adding testing of dead animals in the protection and surveillance zones was predicted to be the optimal control scenario for an ASF epidemic in industrialized swine populations without contact to wild boar. This optimal scenario reduced the epidemic duration to 9days (1-38) and the total costs to €294 million (€257-€392 million). Export losses were the driving force of the total costs of the epidemics.;10.1016/j.vetmic.2016.11.023;included;pigs;poland;deterministic modelling;optimization;risk-based monitoring;meets inclusion criteria;1;1;1
30952584;Andronico A;2019 Sep;Highly pathogenic avian influenza H5N8 in south-west France 2016-2017: A modeling study of control strategies.;In the winter 2016-2017 the largest epidemic of highly pathogenic avian influenza (HPAI) ever recorded in the European Union spread to all 28 member states. France was hit particularly hard and reported a total of 484 infected premises (IPs) by March 2017. We developed a mathematical model to analyze the spatiotemporal evolution of the epidemic and evaluate the impact of control strategies. We estimated that farms rearing ducks were on average 2.5 times more infectious and 5.0 times more susceptible to HPAI than farms rearing other avian species. The implementation of surveillance zones around IPs reduced transmission by a factor of 1.8 on average. Compared to the strengthening of pre-emptive culling measures enforced by French authorities in February 2017, we found that a faster depopulation of diagnosed IPs would have had a larger impact on the total number of infections. For example, halving the time delay from detection to slaughter of infected animals would have reduced the total number of IPs by 52% and total cull numbers by 50% on average. This study showcases the possible contribution of modeling to inform and optimize control strategies during an outbreak.;10.1016/j.epidem.2019.03.006;included;ducks;france;mechanistic modeling;optimization;risk-based monitoring;meets criteria becomes true;1;1;1
33468025;Pepin KM;2021 Jan;Social structure defines spatial transmission of African swine fever in wild boar.;The spatial spread of infectious disease is determined by spatial and social processes such as animal space use and family group structure. Yet, the impacts of social processes on spatial spread remain poorly understood and estimates of spatial transmission kernels (STKs) often exclude social structure. Understanding the impacts of social structure on STKs is important for obtaining robust inferences for policy decisions and optimizing response plans. We fit spatially explicit transmission models with different assumptions about contact structure to African swine fever virus surveillance data from eastern Poland from 2014 to 2015 and evaluated how social structure affected inference of STKs and spatial spread. The model with social structure provided better inference of spatial spread, predicted that approximately 80% of transmission events occurred within family groups, and that transmission was weakly female-biased (other models predicted weakly male-biased transmission). In all models, most transmission events were within 1.5 km, with some rare events at longer distances. Effective reproductive numbers were between 1.1 and 2.5 (maximum values between 4 and 8). Social structure can modify spatial transmission dynamics. Accounting for this additional contact heterogeneity in spatial transmission models could provide more robust inferences of STKs for policy decisions, identify best control targets and improve transparency in model uncertainty.;10.1098/rsif.2020.0761;included;wild boar;poland;spatially explicit transmission models;optimization;risk-based monitoring;social structure impacts transmission dynamics;1;1;1
27391689;Barongo MB;2016;A Mathematical Model that Simulates Control Options for African Swine Fever Virus (ASFV).;A stochastic model designed to simulate transmission dynamics of African swine fever virus (ASFV) in a free-ranging pig population under various intervention scenarios is presented. The model was used to assess the relative impact of the timing of the implementation of different control strategies on disease-related mortality. The implementation of biosecurity measures was simulated through incorporation of a decay function on the transmission rate. The model predicts that biosecurity measures implemented within 14 days of the onset of an epidemic can avert up to 74% of pig deaths due to ASF while hypothetical vaccines that confer 70% immunity when deployed prior to day 14 of the epidemic could avert 65% of pig deaths. When the two control measures are combined, the model predicts that 91% of the pigs that would have otherwise succumbed to the disease if no intervention was implemented would be saved. However, if the combined interventions are delayed (defined as implementation from > 60 days) only 30% of ASF-related deaths would be averted. In the absence of vaccines against ASF, we recommend early implementation of enhanced biosecurity measures. Active surveillance and use of pen-side diagnostic assays, preferably linked to rapid dissemination of this data to veterinary authorities through mobile phone technology platforms are essential for rapid detection and confirmation of ASF outbreaks. This prediction, although it may seem intuitive, rationally confirms the importance of early intervention in managing ASF epidemics. The modelling approach is particularly valuable in that it determines an optimal timing for implementation of interventions in controlling ASF outbreaks.;10.1371/journal.pone.0158658;included;pigs;unknown;stochastic modelling;optimization;risk-based monitoring;biosecurity measures;0;1;0
25457602;Korennoy FI;2014 Oct;Spatio-temporal modeling of the African swine fever epidemic in the Russian Federation, 2007-2012.;In 2007 African swine fever (ASF) entered Georgia and in the same year the disease entered the Russian Federation. From 2007 to 2012 ASF spread throughout the southern region of the Russian Federation. At the same time several cases of ASF were detected in the central and northern regions of the Russian Federation, forming a northern cluster of outbreaks in 2011. This northern cluster is of concern because of its proximity to mainland Europe. The aim of this study was to use details of recorded ASF outbreaks and human and swine population details to estimate the spatial distribution of ASF risk in the southern region of the European part of the Russian Federation. Our model of ASF risk was comprised of two components. The first was an estimate of ASF suitability scores calculated using maximum entropy methods. The second was an estimate of ASF risk as a function of Euclidean distance from index cases. An exponential distribution fitted to a frequency histogram of the Euclidean distance between consecutive ASF cases had a mean value of 156 km, a distance greater than the surveillance zone radius of 100-150 km stated in the ASF control regulations for the Russian Federation. We show that the spatial and temporal risk of ASF expansion is related to the suitability of the area of potential expansion, which is in turn a function of socio-economic and geographic variables. We propose that the methodology presented in this paper provides a useful tool to optimize surveillance for ASF in affected areas.;10.1016/j.sste.2014.04.002;included;pigs;russian federation;statistical modelling;optimization;risk-based monitoring;meets inclusion criteria;1;1;1
30212472;Hill EM;2018 Sep;The impact of surveillance and control on highly pathogenic avian influenza outbreaks in poultry in Dhaka division, Bangladesh.;In Bangladesh, the poultry industry is an economically and socially important sector, but it is persistently threatened by the effects of H5N1 highly pathogenic avian influenza. Thus, identifying the optimal control policy in response to an emerging disease outbreak is a key challenge for policy-makers. To inform this aim, a common approach is to carry out simulation studies comparing plausible strategies, while accounting for known capacity restrictions. In this study we perform simulations of a previously developed H5N1 influenza transmission model framework, fitted to two separate historical outbreaks, to assess specific control objectives related to the burden or duration of H5N1 outbreaks among poultry farms in the Dhaka division of Bangladesh. In particular, we explore the optimal implementation of ring culling, ring vaccination and active surveillance measures when presuming disease transmission predominately occurs from premises-to-premises, versus a setting requiring the inclusion of external factors. Additionally, we determine the sensitivity of the management actions under consideration to differing levels of capacity constraints and outbreaks with disparate transmission dynamics. While we find that reactive culling and vaccination policies should pay close attention to these factors to ensure intervention targeting is optimised, across multiple settings the top performing control action amongst those under consideration were targeted proactive surveillance schemes. Our findings may advise the type of control measure, plus its intensity, that could potentially be applied in the event of a developing outbreak of H5N1 amongst originally H5N1 virus-free commercially-reared poultry in the Dhaka division of Bangladesh.;10.1371/journal.pcbi.1006439;included;poultry;bangladesh;simulation modelling;optimization;proactive surveillance;meets all criteria;1;1;1
38275963;Gervasi V;2024 Jan 19;Optimizing Vaccination Strategies against African Swine Fever Using Spatial Data from Wild Boars in Lithuania.;African swine fever (ASF) is one of the most severe suid diseases, impacting the pig industry and wild suid populations. Once an ASF vaccine is available, identifying a sufficient density of vaccination fields will be crucial to achieve eradication success. In 2020-2023, we live-trapped and monitored 27 wild boars in different areas of Lithuania, in which the wild boars were fed at artificial stations. We built a simulation study to estimate the probability of a successful ASF vaccination as a function of different eco-epidemiological factors. The average 32-day home range size across all individuals was 16.2 km(2) (SD = 16.9). The wild boars made frequent visits of short durations to the feeding sites rather than long visits interposed by long periods of absence. A feeding site density of 0.5/km(2) corresponded to an expected vaccination rate of only 20%. The vaccination probability increased to about 75% when the feeding site density was 1.0/km(2). Our results suggest that at least one vaccination field/km(2) should be used when planning an ASF vaccination campaign to ensure that everyone in the population has at least 5-10 vaccination sites available inside the home range. Similar studies should be conducted in the other ecological contexts in which ASF is present today or will be present in the future, with the objective being to estimate a context-specific relationship between wild boar movement patterns and an optimal vaccination strategy.;10.3390/v16010153;included;wild boars;lithuania;mechanistic modelling;optimization;risk-based monitoring;vaccination planning ;0;1;0
22296731;Goutard FL;2012 Jul 1;Optimizing early detection of avian influenza H5N1 in backyard and free-range poultry production systems in Thailand.;For infectious diseases such as highly pathogenic avian influenza caused by the H5N1 virus (A/H5N1 HP), early warning system is essential. Evaluating the sensitivity of surveillance is a necessary step in ensuring an efficient and sustainable system. Stochastic scenario tree modeling was used here to assess the sensitivity of the A/H5N1 HP surveillance system in backyard and free-grazing duck farms in Thailand. The whole surveillance system for disease detection was modeled with all components and the sensitivity of each component and of the overall system was estimated. Scenarios were tested according to selection of high-risk areas, inclusion of components and sampling procedure, were tested. Nationwide passive surveillance (SSC1) and risk-based clinical X-ray (SSC2) showed a similar sensitivity level, with a median sensitivity ratio of 0.96 (95% CI 0.40-15.00). They both provide higher sensitivity than the X-ray laboratory component (SSC3). With the current surveillance design, the sensitivity of detection of the overall surveillance system when the three components are implemented, was equal to 100% for a farm level prevalence of 0.05% and 82% (95% CI 71-89%) for a level of infection of 3 farms. Findings from this study illustrate the usefulness of scenario-tree modeling to document freedom from diseases in developing countries.;10.1016/j.prevetmed.2011.12.020;included;birds;thailand;stochastic scenario tree modeling;optimization;risk-based monitoring;meets inclusion criteria;1;1;1
24161559;Boni MF;2013 Dec;Economic epidemiology of avian influenza on smallholder poultry farms.;Highly pathogenic avian influenza (HPAI) is often controlled through culling of poultry. Compensating farmers for culled chickens or ducks facilitates effective culling and control of HPAI. However, ensuing price shifts can create incentives that alter the disease dynamics of HPAI. Farmers control certain aspects of the dynamics by setting a farm size, implementing infection control measures, and determining the age at which poultry are sent to market. Their decisions can be influenced by the market price of poultry which can, in turn, be set by policy makers during an HPAI outbreak. Here, we integrate these economic considerations into an epidemiological model in which epidemiological parameters are determined by an outside agent (the farmer) to maximize profit from poultry sales. Our model exhibits a diversity of behaviors which are sensitive to (i) the ability to identify infected poultry, (ii) the average price of infected poultry, (iii) the basic reproductive number of avian influenza, (iv) the effect of culling on the market price of poultry, (v) the effect of market price on farm size, and (vi) the effect of poultry density on disease transmission. We find that under certain market and epidemiological conditions, culling can increase farm size and the total number of HPAI infections. Our model helps to inform the optimization of public health outcomes that best weigh the balance between public health risk and beneficial economic outcomes for farmers.;10.1016/j.tpb.2013.10.001;included;poultry;unknown;deterministic modelling;optimization;risk-based monitoring;meets inclusion criteria;1;1;1
